"CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1/"
"Gross Domestic Product (GDP): All industry total (Thousands of dollars)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"25620","Hattiesburg, MS (Metropolitan Statistical Area)",6371228
"25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",15150170
"25940","Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",9925253
"25980","Hinesville, GA (Metropolitan Statistical Area)",4050238
"26140","Homosassa Springs, FL (Metropolitan Statistical Area)",4551508
"26300","Hot Springs, AR (Metropolitan Statistical Area)",3513952
"26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)",8870717
"26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",488164627
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",15491288
"26620","Huntsville, AL (Metropolitan Statistical Area)",30867880
"26820","Idaho Falls, ID (Metropolitan Statistical Area)",8585233
"26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",146933907
"26980","Iowa City, IA (Metropolitan Statistical Area)",10982853
"27060","Ithaca, NY (Metropolitan Statistical Area)",6412558
"27100","Jackson, MI (Metropolitan Statistical Area)",6830637
"27140","Jackson, MS (Metropolitan Statistical Area)",28092473
"27180","Jackson, TN (Metropolitan Statistical Area)",8517214
"27260","Jacksonville, FL (Metropolitan Statistical Area)",91023328
"27340","Jacksonville, NC (Metropolitan Statistical Area)",8094177
"27500","Janesville-Beloit, WI (Metropolitan Statistical Area)",7840914
"27620","Jefferson City, MO (Metropolitan Statistical Area)",8661950
"27740","Johnson City, TN (Metropolitan Statistical Area)",7942061
"27780","Johnstown, PA (Metropolitan Statistical Area)",4952002
"27860","Jonesboro, AR (Metropolitan Statistical Area)",5670636
"27900","Joplin, MO (Metropolitan Statistical Area)",7707467
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",8704375
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)",14197267
"28100","Kankakee, IL (Metropolitan Statistical Area)",6621871
"28140","Kansas City, MO-KS (Metropolitan Statistical Area)",142503483
"28420","Kennewick-Richland, WA (Metropolitan Statistical Area)",16429467
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)",20175992
"28700","Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",13294896
"28740","Kingston, NY (Metropolitan Statistical Area)",7742382
"28940","Knoxville, TN (Metropolitan Statistical Area)",45645101
"29020","Kokomo, IN (Metropolitan Statistical Area)",4182429
"29100","La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",8374165
"29180","Lafayette, LA (Metropolitan Statistical Area)",20565626
"29200","Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",11968431
"29340","Lake Charles, LA (Metropolitan Statistical Area)",15054177
"29420","Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",6036445
"29460","Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",29339334
"29540","Lancaster, PA (Metropolitan Statistical Area)",29934068
"29620","Lansing-East Lansing, MI (Metropolitan Statistical Area)",26518820
"29700","Laredo, TX (Metropolitan Statistical Area)",10219514
"29740","Las Cruces, NM (Metropolitan Statistical Area)",7632409
"29820","Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",119386931
"29940","Lawrence, KS (Metropolitan Statistical Area)",5172020
"30020","Lawton, OK (Metropolitan Statistical Area)",5308623
"30140","Lebanon, PA (Metropolitan Statistical Area)",6232525
"30300","Lewiston, ID-WA (Metropolitan Statistical Area)",2939792
"30340","Lewiston-Auburn, ME (Metropolitan Statistical Area)",4993212
"30460","Lexington-Fayette, KY (Metropolitan Statistical Area)",29785109
"30620","Lima, OH (Metropolitan Statistical Area)",8116399
"30700","Lincoln, NE (Metropolitan Statistical Area)",21155138
"30780","Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",38581063
"30860","Logan, UT-ID (Metropolitan Statistical Area)",6598103
"30980","Longview, TX (Metropolitan Statistical Area)",14440759
"31020","Longview, WA (Metropolitan Statistical Area)",5316825
"31080","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",1007037066
"31140","Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",74308945
"31180","Lubbock, TX (Metropolitan Statistical Area)",15008301
"31340","Lynchburg, VA (Metropolitan Statistical Area) *",10662302
"31420","Macon-Bibb County, GA (Metropolitan Statistical Area)",10792896
"31460","Madera, CA (Metropolitan Statistical Area)",6544075
"31540","Madison, WI (Metropolitan Statistical Area)",51475512
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)",28848611
"31740","Manhattan, KS (Metropolitan Statistical Area)",7248547
"31860","Mankato, MN (Metropolitan Statistical Area)",5821746
"31900","Mansfield, OH (Metropolitan Statistical Area)",4721110
"32580","McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",22908324
"32780","Medford, OR (Metropolitan Statistical Area)",9592783
"32820","Memphis, TN-MS-AR (Metropolitan Statistical Area)",77274523
"32900","Merced, CA (Metropolitan Statistical Area)",9635342
"33100","Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",365051489
"33140","Michigan City-La Porte, IN (Metropolitan Statistical Area)",4204186
"33220","Midland, MI (Metropolitan Statistical Area)",5264143
"33260","Midland, TX (Metropolitan Statistical Area)",21823909
"33340","Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",102400733
"33460","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",270282128
"33540","Missoula, MT (Metropolitan Statistical Area)",5905841
"33660","Mobile, AL (Metropolitan Statistical Area)",21123821
"33700","Modesto, CA (Metropolitan Statistical Area)",24203279
"33740","Monroe, LA (Metropolitan Statistical Area)",8171854
"33780","Monroe, MI (Metropolitan Statistical Area)",5991777
"33860","Montgomery, AL (Metropolitan Statistical Area)",18527675
"34060","Morgantown, WV (Metropolitan Statistical Area)",7738052
"34100","Morristown, TN (Metropolitan Statistical Area)",5335071
"34580","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",6752967
"34620","Muncie, IN (Metropolitan Statistical Area)",4246628
"34740","Muskegon, MI (Metropolitan Statistical Area)",6013588
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",19075327
"34900","Napa, CA (Metropolitan Statistical Area)",11239687
"34940","Naples-Marco Island, FL (Metropolitan Statistical Area)",21082482
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",136058470
"35100","New Bern, NC (Metropolitan Statistical Area)",5659428
"35300","New Haven-Milford, CT (Metropolitan Statistical Area)",53026077
"35380","New Orleans-Metairie, LA (Metropolitan Statistical Area)",76382297
"35620","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",1809323397
"35660","Niles, MI (Metropolitan Statistical Area)",7987051
"35840","North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",39485822
"35980","Norwich-New London, CT (Metropolitan Statistical Area)",18177091
"36100","Ocala, FL (Metropolitan Statistical Area)",11373344
"36140","Ocean City, NJ (Metropolitan Statistical Area)",5624958
"36220","Odessa, TX (Metropolitan Statistical Area)",10194042
"36260","Ogden-Clearfield, UT (Metropolitan Statistical Area)",31526651
"36420","Oklahoma City, OK (Metropolitan Statistical Area)",74398350
"36500","Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",14635606
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",69122853
"36740","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",144096225
"36780","Oshkosh-Neenah, WI (Metropolitan Statistical Area)",10585424
"36980","Owensboro, KY (Metropolitan Statistical Area)",5700114
"37100","Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",53218972
"37340","Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",27692408
"37460","Panama City, FL (Metropolitan Statistical Area)",9090224
"37620","Parkersburg-Vienna, WV (Metropolitan Statistical Area)",3567244
"37860","Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",21970338
"37900","Peoria, IL (Metropolitan Statistical Area)",21644103
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",439055118
"38060","Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",281004837
"38220","Pine Bluff, AR (Metropolitan Statistical Area)",3435776
"38300","Pittsburgh, PA (Metropolitan Statistical Area)",153369717
"38340","Pittsfield, MA (Metropolitan Statistical Area)",7099411
